SN,NAME,ADDRESS,STATE,CITY,WEBSITE,STATUS,LATITUDE,LONGITUDE
1,Lagos University Teaching Hospital,"Ishaga Rd, Idi-Araba, Lagos, Nigeria",Lagos,Lagos,http://luth.org.ng,Active,6.517652,3.353712
2,Nigeria Institute for Medical Research (NIMR),"Medical Compound, 6 Edmund Cres, Yaba, Nigeria",Lagos,Lagos,http://nimr.gov.ng,Active,6.515177,3.370576
3,University College Hospital (UCH),"Layi Ayanniyi Street, Ibadan, Nigeria",Oyo,Ibadan,https://uch-ibadan.org.ng,Active,7.356931,3.874326
4,African Centre of Excellence for Genomics of Infectious Diseases (ACEGID),"Oloki/Akoda, Nigeria",Osun,Ede,https://acegid.org/,Active,7.682692,4.458675
5,NCDC National Reference Laboratory,"801 Ebitu Ukiwe St, Jabi, Abuja, Nigeria","FCT, Abuja",Abuja,http://ncdc.gov.ng,Active,9.070807,7.433299
6,Irrua Specialist Teaching Hospital,"KM 87 Benin Auchi Rd, Irrua, Nigeria",Edo,Irrua,https://isth.com.ng,Active,6.731861,6.189695
7,Alex Ekwueme Federal Teaching Hospital,"FMC Rd, Abakaliki, Nigeria",Ebonyi,Abakaliki,https://www.aefutha.gov.ng/,Active,6.331656,8.107971
8,Lagos State Biosafety Level-3 Laboratory,"Yaba, Lagos",Lagos,Lagos,,Active,6.503004,3.365085
9,Defence Reference Laboratory,"Mogadishu Cantonment, Abuja","FCT, Abuja",Abuja,http://www.wrp-n.org,Active,9.04834,7.537973
10,University of Maiduguri Teaching Hospital,"University of Maiduguri Teaching Hospital, Maiduguri",Borno,Maiduguri,https://www.umth.org.ng/,Active,11.826017,13.180874
11,DNA Laboratory,"No 2A Kinkino Rd, City Centre, Kaduna, Nigeria",Kaduna,Kaduna,http://dnalabs.com.ng,Active,10.539122,7.44967
12,Aminu Kano Teaching Hospital,"Aminu Kano Teaching Hospital, Ungwa Uku, Kano, Nigeria.",Kano,Kano,https://akth.org.ng,Active,11.963407,8.550423
13,National Veterinary Reference Laboratory,"National Veterinary Research Institute, Plateau, Jos.",Plateau,Jos,http://www.nvri.gov.ng/,,9.736508,8.806357
