,OBJECTID,CODE,STATE,ADMIN_NAME,GEO_ZONE,AREA_SQKM,POP_2016,LAT,LONG,CASES,DEATHS,RECOVERED,ACTIVE,SCREENED
24,25,NG025,Lagos,Lagos State,South West,3701.44755,12102238,6.52242433,3.586974902,4012,47,745,3220,122
19,20,NG020,Kano,Kano State,North West,20310.40231,12706778,11.74520194,8.529557183,936,41,135,760,6
14,15,NG015,FCT,Federal Capital Territory,North Central,7388.142266,2996670,8.897617232,7.195557236,519,14,157,348,98
20,21,NG021,Katsina,Katsina State,North West,23957.92359,7645575,12.37830071,7.628834204,358,14,51,293,2
7,8,NG008,Borno,Borno State,North East,75949.94745,5669054,11.86524255,13.09877091,257,25,145,87,0
30,31,NG031,Oyo,Oyo State,South West,27824.83395,7636122,8.158826811,3.612911627,252,6,76,170,4
27,28,NG028,Ogun,Ogun State,South West,16810.67368,5048351,6.995135101,3.473261779,242,9,109,124,5
17,18,NG018,Jigawa,Jigawa State,North West,23201.55036,5690516,12.23842042,9.563558283,241,4,78,159,1
11,12,NG012,Edo,Edo State,South South,19555.5519,4138994,6.633537265,5.93021466,240,10,58,172,16
4,5,NG005,Bauchi,Bauchi State,North East,48496.40051,6386388,10.79664717,9.990588234,233,7,203,23,27
18,19,NG019,Kaduna,Kaduna State,North West,44146.8227,8007205,10.39236691,7.705978606,215,6,134,75,3
32,33,NG033,Rivers,Rivers State,South South,10188.80381,7081412,4.845392316,6.918181455,171,11,43,117,8
15,16,NG016,Gombe,Gombe State,North East,17437.99726,3160494,10.38358785,11.19199514,152,3,118,31,0
33,34,NG034,Sokoto,Sokoto State,North West,32257.59027,4879641,13.03799337,5.318810473,116,14,94,8,1
31,32,NG032,Plateau,Plateau State,North Central,26489.78286,4088038,9.232416151,9.512049504,97,2,43,52,4
23,24,NG024,Kwara,Kwara State,North Central,33838.41691,3129582,8.965933764,4.385168584,85,1,34,50,0
36,37,NG037,Zamfara,Zamfara State,North West,33561.95914,4376911,12.10150481,6.246534746,76,5,66,5,0
25,26,NG026,Nasarawa,Nasarawa State,North Central,26750.45886,2459321,8.510446426,8.19796222,62,2,18,42,9
9,10,NG010,Delta,Delta State,South South,17112.99617,5502806,5.704898235,5.936929598,51,7,14,30,1
35,36,NG036,Yobe,Yobe State,North East,41414.37358,3197296,12.37621509,11.39326601,47,7,8,32,1
29,30,NG030,Osun,Osun State,South West,8644.298164,4596693,7.562918519,4.51776227,44,4,35,5,1
1,2,NG002,Adamawa,Adamawa State,North East,37924.98786,4145684,9.323227332,12.40024078,38,3,20,15,2
10,11,NG011,Ebonyi,Ebonyi State,South East,6336.481274,2819675,6.262027249,8.016266263,36,0,6,30,1
2,3,NG003,Akwa Ibom,Akwa Ibom State,South South,6723.202769,5353609,4.907245026,7.846394928,35,2,14,19,1
16,17,NG017,Imo,Imo State,South East,5075.461183,5283288,5.573020021,7.062307591,34,0,7,27,0
21,22,NG022,Kebbi,Kebbi State,North West,36788.02092,4311454,11.74395642,4.51668667,32,4,17,11,2
26,27,NG027,Niger,Niger State,North Central,72143.4678,5394631,9.933226341,5.590434858,30,1,9,20,0
28,29,NG029,Ondo,Ondo State,South West,15132.20091,4541779,6.917995343,5.150609212,24,2,19,3,5
12,13,NG013,Ekiti,Ekiti State,South West,5773.235782,3174006,7.720080404,5.309515527,20,2,14,4,6
13,14,NG014,Enugu,Enugu State,South East,7635.724099,4299281,6.536244896,7.440611163,18,0,8,10,4
34,35,NG035,Taraba,Taraba State,North East,58561.23236,2984174,8.023131157,10.78647944,18,0,10,8,0
5,6,NG006,Bayelsa,Bayelsa State,South South,9546.418182,2228965,4.766315328,6.08041884,12,0,6,6,1
3,4,NG004,Anambra,Anambra State,South East,4807.933352,5425334,6.222775877,6.932186089,11,1,3,7,0
0,1,NG001,Abia,Abia State,South East,4858.882335,3644714,5.453302119,7.523189982,10,0,3,7,0
6,7,NG007,Benue,Benue State,North Central,31462.22846,5568946,7.341086058,8.751907951,7,0,1,6,0
8,9,NG009,Cross River,Cross River State,South South,21417.61088,3780419,5.845901003,8.59875592,0,0,0,0,2
22,23,NG023,Kogi,Kogi State,North Central,28925.87904,4327246,7.736607886,6.686754337,2,0,0,2,0
